cwe,relationship,target_cwe
CWE-131: Incorrect Calculation of Buffer Size,ChildOf,CWE-682: Incorrect Calculation
CWE-134: Use of Externally-Controlled Format String,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-134: Use of Externally-Controlled Format String,CanPrecede,CWE-123: Write-what-where Condition
CWE-134: Use of Externally-Controlled Format String,MemberOf,CWE-133: String Errors
CWE-134: Use of Externally-Controlled Format String,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-134: Use of Externally-Controlled Format String,ChildOf,CWE-20: Improper Input Validation
CWE-135: Incorrect Calculation of Multi-Byte String Length,ChildOf,CWE-682: Incorrect Calculation
CWE-135: Incorrect Calculation of Multi-Byte String Length,MemberOf,CWE-133: String Errors
CWE-138: Improper Neutralization of Special Elements,ChildOf,CWE-707: Improper Neutralization
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-140: Improper Neutralization of Delimiters
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-147: Improper Neutralization of Input Terminators
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-148: Improper Neutralization of Input Leaders
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-149: Improper Neutralization of Quoting Syntax
CWE-138: Improper Neutralization of Special Elements,ParentOf,"CWE-150: Improper Neutralization of Escape, Meta, or Control Sequences"
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-151: Improper Neutralization of Comment Delimiters
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-152: Improper Neutralization of Macro Symbols
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-153: Improper Neutralization of Substitution Characters
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-154: Improper Neutralization of Variable Name Delimiters
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-155: Improper Neutralization of Wildcards or Matching Symbols
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-156: Improper Neutralization of Whitespace
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-157: Failure to Sanitize Paired Delimiters
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-158: Improper Neutralization of Null Byte or NUL Character
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-159: Improper Handling of Invalid Use of Special Elements
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-160: Improper Neutralization of Leading Special Elements
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-162: Improper Neutralization of Trailing Special Elements
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-164: Improper Neutralization of Internal Special Elements
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-464: Addition of Data Structure Sentinel
CWE-138: Improper Neutralization of Special Elements,ParentOf,CWE-790: Improper Filtering of Special Elements
CWE-138: Improper Neutralization of Special Elements,MemberOf,CWE-1019: Validate Inputs
CWE-140: Improper Neutralization of Delimiters,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-140: Improper Neutralization of Delimiters,ParentOf,CWE-141: Improper Neutralization of Parameter/Argument Delimiters
CWE-140: Improper Neutralization of Delimiters,ParentOf,CWE-142: Improper Neutralization of Value Delimiters
CWE-140: Improper Neutralization of Delimiters,ParentOf,CWE-143: Improper Neutralization of Record Delimiters
CWE-140: Improper Neutralization of Delimiters,ParentOf,CWE-144: Improper Neutralization of Line Delimiters
CWE-140: Improper Neutralization of Delimiters,ParentOf,CWE-145: Improper Neutralization of Section Delimiters
CWE-140: Improper Neutralization of Delimiters,ParentOf,CWE-146: Improper Neutralization of Expression/Command Delimiters
CWE-140: Improper Neutralization of Delimiters,MemberOf,CWE-137: Data Neutralization Issues
CWE-141: Improper Neutralization of Parameter/Argument Delimiters,ChildOf,CWE-140: Improper Neutralization of Delimiters
CWE-142: Improper Neutralization of Value Delimiters,ChildOf,CWE-140: Improper Neutralization of Delimiters
CWE-143: Improper Neutralization of Record Delimiters,ChildOf,CWE-140: Improper Neutralization of Delimiters
CWE-144: Improper Neutralization of Line Delimiters,ChildOf,CWE-140: Improper Neutralization of Delimiters
CWE-144: Improper Neutralization of Line Delimiters,CanAlsoBe,CWE-93: Improper Neutralization of CRLF Sequences ('CRLF Injection')
CWE-145: Improper Neutralization of Section Delimiters,ChildOf,CWE-140: Improper Neutralization of Delimiters
CWE-145: Improper Neutralization of Section Delimiters,CanAlsoBe,CWE-93: Improper Neutralization of CRLF Sequences ('CRLF Injection')
CWE-146: Improper Neutralization of Expression/Command Delimiters,ChildOf,CWE-140: Improper Neutralization of Delimiters
CWE-147: Improper Neutralization of Input Terminators,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-147: Improper Neutralization of Input Terminators,ParentOf,CWE-626: Null Byte Interaction Error (Poison Null Byte)
CWE-148: Improper Neutralization of Input Leaders,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-149: Improper Neutralization of Quoting Syntax,ChildOf,CWE-138: Improper Neutralization of Special Elements
"CWE-150: Improper Neutralization of Escape, Meta, or Control Sequences",ChildOf,CWE-138: Improper Neutralization of Special Elements
"CWE-150: Improper Neutralization of Escape, Meta, or Control Sequences",MemberOf,CWE-1019: Validate Inputs
CWE-151: Improper Neutralization of Comment Delimiters,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-152: Improper Neutralization of Macro Symbols,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-153: Improper Neutralization of Substitution Characters,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-154: Improper Neutralization of Variable Name Delimiters,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-155: Improper Neutralization of Wildcards or Matching Symbols,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-155: Improper Neutralization of Wildcards or Matching Symbols,ParentOf,CWE-56: Path Equivalence: 'filedir*' (Wildcard)
CWE-156: Improper Neutralization of Whitespace,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-157: Failure to Sanitize Paired Delimiters,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-158: Improper Neutralization of Null Byte or NUL Character,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-159: Improper Handling of Invalid Use of Special Elements,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-159: Improper Handling of Invalid Use of Special Elements,ParentOf,CWE-166: Improper Handling of Missing Special Element
CWE-159: Improper Handling of Invalid Use of Special Elements,ParentOf,CWE-167: Improper Handling of Additional Special Element
CWE-159: Improper Handling of Invalid Use of Special Elements,ParentOf,CWE-168: Improper Handling of Inconsistent Special Elements
CWE-160: Improper Neutralization of Leading Special Elements,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-160: Improper Neutralization of Leading Special Elements,ParentOf,CWE-37: Path Traversal: '/absolute/pathname/here'
CWE-160: Improper Neutralization of Leading Special Elements,ParentOf,CWE-161: Improper Neutralization of Multiple Leading Special Elements
CWE-161: Improper Neutralization of Multiple Leading Special Elements,ChildOf,CWE-160: Improper Neutralization of Leading Special Elements
CWE-161: Improper Neutralization of Multiple Leading Special Elements,ParentOf,CWE-50: Path Equivalence: '//multiple/leading/slash'
CWE-162: Improper Neutralization of Trailing Special Elements,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-162: Improper Neutralization of Trailing Special Elements,ParentOf,CWE-42: Path Equivalence: 'filename.' (Trailing Dot)
CWE-162: Improper Neutralization of Trailing Special Elements,ParentOf,CWE-46: Path Equivalence: 'filename ' (Trailing Space)
CWE-162: Improper Neutralization of Trailing Special Elements,ParentOf,CWE-49: Path Equivalence: 'filename/' (Trailing Slash)
CWE-162: Improper Neutralization of Trailing Special Elements,ParentOf,CWE-54: Path Equivalence: 'filedir\' (Trailing Backslash)
CWE-162: Improper Neutralization of Trailing Special Elements,ParentOf,CWE-163: Improper Neutralization of Multiple Trailing Special Elements
CWE-163: Improper Neutralization of Multiple Trailing Special Elements,ChildOf,CWE-162: Improper Neutralization of Trailing Special Elements
CWE-163: Improper Neutralization of Multiple Trailing Special Elements,ParentOf,CWE-43: Path Equivalence: 'filename....' (Multiple Trailing Dot)
CWE-163: Improper Neutralization of Multiple Trailing Special Elements,ParentOf,CWE-52: Path Equivalence: '/multiple/trailing/slash//'
CWE-164: Improper Neutralization of Internal Special Elements,ChildOf,CWE-138: Improper Neutralization of Special Elements
CWE-164: Improper Neutralization of Internal Special Elements,ParentOf,CWE-165: Improper Neutralization of Multiple Internal Special Elements
CWE-165: Improper Neutralization of Multiple Internal Special Elements,ChildOf,CWE-164: Improper Neutralization of Internal Special Elements
CWE-165: Improper Neutralization of Multiple Internal Special Elements,ParentOf,CWE-45: Path Equivalence: 'file...name' (Multiple Internal Dot)
CWE-165: Improper Neutralization of Multiple Internal Special Elements,ParentOf,CWE-53: Path Equivalence: '\multiple\\internal\backslash'
CWE-166: Improper Handling of Missing Special Element,ChildOf,CWE-228: Improper Handling of Syntactically Invalid Structure
CWE-166: Improper Handling of Missing Special Element,ChildOf,CWE-159: Improper Handling of Invalid Use of Special Elements
CWE-166: Improper Handling of Missing Special Element,MemberOf,CWE-19: Data Processing Errors
CWE-167: Improper Handling of Additional Special Element,ChildOf,CWE-228: Improper Handling of Syntactically Invalid Structure
CWE-167: Improper Handling of Additional Special Element,ChildOf,CWE-159: Improper Handling of Invalid Use of Special Elements
CWE-167: Improper Handling of Additional Special Element,MemberOf,CWE-19: Data Processing Errors
CWE-168: Improper Handling of Inconsistent Special Elements,ChildOf,CWE-228: Improper Handling of Syntactically Invalid Structure
CWE-168: Improper Handling of Inconsistent Special Elements,ChildOf,CWE-159: Improper Handling of Invalid Use of Special Elements
CWE-168: Improper Handling of Inconsistent Special Elements,MemberOf,CWE-19: Data Processing Errors
CWE-170: Improper Null Termination,ChildOf,CWE-707: Improper Neutralization
CWE-170: Improper Null Termination,PeerOf,CWE-463: Deletion of Data Structure Sentinel
CWE-170: Improper Null Termination,PeerOf,CWE-464: Addition of Data Structure Sentinel
CWE-170: Improper Null Termination,CanAlsoBe,CWE-147: Improper Neutralization of Input Terminators
CWE-170: Improper Null Termination,CanFollow,CWE-193: Off-by-one Error
CWE-170: Improper Null Termination,CanFollow,CWE-682: Incorrect Calculation
CWE-170: Improper Null Termination,CanPrecede,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CWE-170: Improper Null Termination,CanPrecede,CWE-126: Buffer Over-read
CWE-170: Improper Null Termination,MemberOf,CWE-137: Data Neutralization Issues
CWE-170: Improper Null Termination,ChildOf,CWE-20: Improper Input Validation
CWE-172: Encoding Error,ChildOf,CWE-707: Improper Neutralization
CWE-172: Encoding Error,ParentOf,CWE-173: Improper Handling of Alternate Encoding
CWE-172: Encoding Error,ParentOf,CWE-174: Double Decoding of the Same Data
CWE-172: Encoding Error,ParentOf,CWE-175: Improper Handling of Mixed Encoding
CWE-172: Encoding Error,ParentOf,CWE-176: Improper Handling of Unicode Encoding
CWE-172: Encoding Error,ParentOf,CWE-177: Improper Handling of URL Encoding (Hex Encoding)
CWE-172: Encoding Error,CanPrecede,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-172: Encoding Error,CanPrecede,CWE-41: Improper Resolution of Path Equivalence
CWE-173: Improper Handling of Alternate Encoding,ChildOf,CWE-172: Encoding Error
CWE-173: Improper Handling of Alternate Encoding,CanPrecede,CWE-289: Authentication Bypass by Alternate Name
CWE-174: Double Decoding of the Same Data,ChildOf,CWE-172: Encoding Error
CWE-174: Double Decoding of the Same Data,ChildOf,CWE-675: Multiple Operations on Resource in Single-Operation Context
CWE-175: Improper Handling of Mixed Encoding,ChildOf,CWE-172: Encoding Error
CWE-176: Improper Handling of Unicode Encoding,ChildOf,CWE-172: Encoding Error
CWE-177: Improper Handling of URL Encoding (Hex Encoding),ChildOf,CWE-172: Encoding Error
CWE-178: Improper Handling of Case Sensitivity,ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-178: Improper Handling of Case Sensitivity,PeerOf,CWE-1289: Improper Validation of Unsafe Equivalence in Input
CWE-178: Improper Handling of Case Sensitivity,CanPrecede,CWE-289: Authentication Bypass by Alternate Name
CWE-178: Improper Handling of Case Sensitivity,CanPrecede,CWE-433: Unparsed Raw Web Content Delivery
CWE-178: Improper Handling of Case Sensitivity,MemberOf,CWE-19: Data Processing Errors
CWE-178: Improper Handling of Case Sensitivity,ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-179: Incorrect Behavior Order: Early Validation,ChildOf,CWE-20: Improper Input Validation
CWE-179: Incorrect Behavior Order: Early Validation,ChildOf,CWE-696: Incorrect Behavior Order
CWE-179: Incorrect Behavior Order: Early Validation,ParentOf,CWE-180: Incorrect Behavior Order: Validate Before Canonicalize
CWE-179: Incorrect Behavior Order: Early Validation,ParentOf,CWE-181: Incorrect Behavior Order: Validate Before Filter
CWE-179: Incorrect Behavior Order: Early Validation,MemberOf,CWE-1215: Data Validation Issues
CWE-179: Incorrect Behavior Order: Early Validation,MemberOf,CWE-438: Behavioral Problems
CWE-180: Incorrect Behavior Order: Validate Before Canonicalize,ChildOf,CWE-179: Incorrect Behavior Order: Early Validation
CWE-181: Incorrect Behavior Order: Validate Before Filter,ChildOf,CWE-179: Incorrect Behavior Order: Early Validation
CWE-182: Collapse of Data into Unsafe Value,ChildOf,CWE-693: Protection Mechanism Failure
CWE-182: Collapse of Data into Unsafe Value,CanFollow,CWE-185: Incorrect Regular Expression
CWE-182: Collapse of Data into Unsafe Value,CanPrecede,CWE-33: Path Traversal: '....' (Multiple Dot)
CWE-182: Collapse of Data into Unsafe Value,CanPrecede,CWE-34: Path Traversal: '....//'
CWE-182: Collapse of Data into Unsafe Value,CanPrecede,CWE-35: Path Traversal: '.../...//'
CWE-182: Collapse of Data into Unsafe Value,MemberOf,CWE-19: Data Processing Errors
CWE-183: Permissive List of Allowed Inputs,ChildOf,CWE-697: Incorrect Comparison
CWE-183: Permissive List of Allowed Inputs,ParentOf,CWE-942: Permissive Cross-domain Policy with Untrusted Domains
CWE-183: Permissive List of Allowed Inputs,PeerOf,CWE-625: Permissive Regular Expression
CWE-183: Permissive List of Allowed Inputs,PeerOf,CWE-627: Dynamic Variable Evaluation
CWE-183: Permissive List of Allowed Inputs,CanPrecede,CWE-434: Unrestricted Upload of File with Dangerous Type
CWE-183: Permissive List of Allowed Inputs,MemberOf,CWE-1215: Data Validation Issues
CWE-184: Incomplete List of Disallowed Inputs,ChildOf,CWE-1023: Incomplete Comparison with Missing Factors
CWE-184: Incomplete List of Disallowed Inputs,ChildOf,CWE-693: Protection Mechanism Failure
CWE-184: Incomplete List of Disallowed Inputs,ParentOf,CWE-692: Incomplete Denylist to Cross-Site Scripting
CWE-184: Incomplete List of Disallowed Inputs,PeerOf,CWE-86: Improper Neutralization of Invalid Characters in Identifiers in Web Pages
CWE-184: Incomplete List of Disallowed Inputs,PeerOf,CWE-625: Permissive Regular Expression
CWE-184: Incomplete List of Disallowed Inputs,CanPrecede,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CWE-184: Incomplete List of Disallowed Inputs,CanPrecede,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CWE-184: Incomplete List of Disallowed Inputs,CanPrecede,CWE-98: Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
CWE-184: Incomplete List of Disallowed Inputs,CanPrecede,CWE-434: Unrestricted Upload of File with Dangerous Type
CWE-184: Incomplete List of Disallowed Inputs,MemberOf,CWE-1215: Data Validation Issues
CWE-185: Incorrect Regular Expression,ChildOf,CWE-697: Incorrect Comparison
CWE-185: Incorrect Regular Expression,ParentOf,CWE-186: Overly Restrictive Regular Expression
CWE-185: Incorrect Regular Expression,ParentOf,CWE-625: Permissive Regular Expression
CWE-185: Incorrect Regular Expression,CanPrecede,CWE-182: Collapse of Data into Unsafe Value
CWE-185: Incorrect Regular Expression,CanPrecede,CWE-187: Partial String Comparison
CWE-186: Overly Restrictive Regular Expression,ChildOf,CWE-185: Incorrect Regular Expression
CWE-186: Overly Restrictive Regular Expression,CanAlsoBe,CWE-183: Permissive List of Allowed Inputs
CWE-186: Overly Restrictive Regular Expression,CanAlsoBe,CWE-184: Incomplete List of Disallowed Inputs
CWE-186: Overly Restrictive Regular Expression,MemberOf,CWE-19: Data Processing Errors
CWE-187: Partial String Comparison,ChildOf,CWE-1023: Incomplete Comparison with Missing Factors
CWE-187: Partial String Comparison,PeerOf,CWE-625: Permissive Regular Expression
CWE-187: Partial String Comparison,CanFollow,CWE-185: Incorrect Regular Expression
CWE-188: Reliance on Data/Memory Layout,ChildOf,CWE-435: Improper Interaction Between Multiple Correctly-Behaving Entities
CWE-188: Reliance on Data/Memory Layout,ChildOf,CWE-1105: Insufficient Encapsulation of Machine-Dependent Functionality
CWE-188: Reliance on Data/Memory Layout,ParentOf,CWE-198: Use of Incorrect Byte Ordering
CWE-190: Integer Overflow or Wraparound,ChildOf,CWE-682: Incorrect Calculation
CWE-190: Integer Overflow or Wraparound,ParentOf,CWE-680: Integer Overflow to Buffer Overflow
CWE-190: Integer Overflow or Wraparound,PeerOf,CWE-128: Wrap-around Error
CWE-190: Integer Overflow or Wraparound,PeerOf,CWE-1339: Insufficient Precision or Accuracy of a Real Number
CWE-190: Integer Overflow or Wraparound,CanPrecede,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer
CWE-190: Integer Overflow or Wraparound,MemberOf,CWE-189: Numeric Errors
CWE-190: Integer Overflow or Wraparound,ChildOf,CWE-682: Incorrect Calculation
CWE-190: Integer Overflow or Wraparound,ChildOf,CWE-20: Improper Input Validation
CWE-191: Integer Underflow (Wrap or Wraparound),ChildOf,CWE-682: Incorrect Calculation
CWE-191: Integer Underflow (Wrap or Wraparound),MemberOf,CWE-189: Numeric Errors
CWE-191: Integer Underflow (Wrap or Wraparound),ChildOf,CWE-682: Incorrect Calculation
CWE-192: Integer Coercion Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-193: Off-by-one Error,ChildOf,CWE-682: Incorrect Calculation
CWE-193: Off-by-one Error,CanPrecede,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer
CWE-193: Off-by-one Error,CanPrecede,CWE-170: Improper Null Termination
CWE-193: Off-by-one Error,CanPrecede,CWE-617: Reachable Assertion
CWE-193: Off-by-one Error,MemberOf,CWE-189: Numeric Errors
CWE-193: Off-by-one Error,ChildOf,CWE-682: Incorrect Calculation
CWE-194: Unexpected Sign Extension,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-194: Unexpected Sign Extension,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-194: Unexpected Sign Extension,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-195: Signed to Unsigned Conversion Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-195: Signed to Unsigned Conversion Error,CanFollow,CWE-839: Numeric Range Comparison Without Minimum Check
CWE-195: Signed to Unsigned Conversion Error,CanPrecede,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer
CWE-195: Signed to Unsigned Conversion Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-195: Signed to Unsigned Conversion Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-196: Unsigned to Signed Conversion Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-196: Unsigned to Signed Conversion Error,CanAlsoBe,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CWE-196: Unsigned to Signed Conversion Error,CanAlsoBe,CWE-124: Buffer Underwrite ('Buffer Underflow')
CWE-196: Unsigned to Signed Conversion Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-196: Unsigned to Signed Conversion Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-197: Numeric Truncation Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-197: Numeric Truncation Error,CanAlsoBe,CWE-192: Integer Coercion Error
CWE-197: Numeric Truncation Error,CanAlsoBe,CWE-194: Unexpected Sign Extension
CWE-197: Numeric Truncation Error,CanAlsoBe,CWE-195: Signed to Unsigned Conversion Error
CWE-197: Numeric Truncation Error,CanAlsoBe,CWE-196: Unsigned to Signed Conversion Error
CWE-197: Numeric Truncation Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-197: Numeric Truncation Error,ChildOf,CWE-681: Incorrect Conversion between Numeric Types
CWE-198: Use of Incorrect Byte Ordering,ChildOf,CWE-188: Reliance on Data/Memory Layout
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-201: Insertion of Sensitive Information Into Sent Data
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-203: Observable Discrepancy
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-209: Generation of Error Message Containing Sensitive Information
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-213: Exposure of Sensitive Information Due to Incompatible Policies
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-215: Insertion of Sensitive Information Into Debugging Code
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-359: Exposure of Private Personal Information to an Unauthorized Actor
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-497: Exposure of Sensitive System Information to an Unauthorized Control Sphere
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-538: Insertion of Sensitive Information into Externally-Accessible File or Directory
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-1258: Exposure of Sensitive System Information Due to Uncleared Debug Information
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-1273: Device Unlock Credential Sharing
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-1295: Debug Messages Revealing Unnecessary Information
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CanFollow,CWE-498: Cloneable Class Containing Sensitive Information
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CanFollow,CWE-499: Serializable Class Containing Sensitive Data
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,CanFollow,CWE-1272: Sensitive Information Uncleared Before Debug/Power State Transition
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,MemberOf,CWE-1003: Weaknesses for Simplified Mapping of Published Vulnerabilities
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-203: Observable Discrepancy
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-209: Generation of Error Message Containing Sensitive Information
CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,ParentOf,CWE-532: Insertion of Sensitive Information into Log File
CWE-201: Insertion of Sensitive Information Into Sent Data,ChildOf,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor
CWE-201: Insertion of Sensitive Information Into Sent Data,ParentOf,CWE-598: Use of GET Request Method With Sensitive Query Strings
CWE-201: Insertion of Sensitive Information Into Sent Data,CanAlsoBe,CWE-202: Exposure of Sensitive Information Through Data Queries
CWE-201: Insertion of Sensitive Information Into Sent Data,CanAlsoBe,CWE-209: Generation of Error Message Containing Sensitive Information
CWE-201: Insertion of Sensitive Information Into Sent Data,CanFollow,CWE-212: Improper Removal of Sensitive Information Before Storage or Transfer
CWE-201: Insertion of Sensitive Information Into Sent Data,CanFollow,CWE-226: Sensitive Information in Resource Not Removed Before Reuse
CWE-201: Insertion of Sensitive Information Into Sent Data,MemberOf,CWE-199: Information Management Errors
CWE-201: Insertion of Sensitive Information Into Sent Data,MemberOf,CWE-1015: Limit Access
CWE-202: Exposure of Sensitive Information Through Data Queries,ChildOf,CWE-1230: Exposure of Sensitive Information Through Metadata
CWE-203: Observable Discrepancy,ChildOf,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor
CWE-203: Observable Discrepancy,ParentOf,CWE-204: Observable Response Discrepancy
CWE-203: Observable Discrepancy,ParentOf,CWE-205: Observable Behavioral Discrepancy
CWE-203: Observable Discrepancy,ParentOf,CWE-208: Observable Timing Discrepancy
CWE-203: Observable Discrepancy,ParentOf,CWE-1300: Improper Protection of Physical Side Channels
CWE-203: Observable Discrepancy,ParentOf,CWE-1303: Non-Transparent Sharing of Microarchitectural Resources
CWE-203: Observable Discrepancy,MemberOf,CWE-1205: Security Primitives and Cryptography Issues
CWE-203: Observable Discrepancy,ParentOf,CWE-1300: Improper Protection of Physical Side Channels
CWE-203: Observable Discrepancy,ChildOf,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor
CWE-204: Observable Response Discrepancy,ChildOf,CWE-203: Observable Discrepancy
CWE-204: Observable Response Discrepancy,MemberOf,CWE-199: Information Management Errors
CWE-205: Observable Behavioral Discrepancy,ChildOf,CWE-203: Observable Discrepancy
CWE-205: Observable Behavioral Discrepancy,ParentOf,CWE-206: Observable Internal Behavioral Discrepancy
CWE-205: Observable Behavioral Discrepancy,ParentOf,CWE-207: Observable Behavioral Discrepancy With Equivalent Products
CWE-205: Observable Behavioral Discrepancy,CanPrecede,CWE-514: Covert Channel
CWE-205: Observable Behavioral Discrepancy,MemberOf,CWE-199: Information Management Errors
CWE-206: Observable Internal Behavioral Discrepancy,ChildOf,CWE-205: Observable Behavioral Discrepancy
CWE-207: Observable Behavioral Discrepancy With Equivalent Products,ChildOf,CWE-205: Observable Behavioral Discrepancy
CWE-208: Observable Timing Discrepancy,ChildOf,CWE-203: Observable Discrepancy
CWE-208: Observable Timing Discrepancy,ParentOf,CWE-1254: Incorrect Comparison Logic Granularity
CWE-208: Observable Timing Discrepancy,CanPrecede,CWE-327: Use of a Broken or Risky Cryptographic Algorithm
CWE-208: Observable Timing Discrepancy,CanPrecede,CWE-385: Covert Timing Channel
CWE-208: Observable Timing Discrepancy,MemberOf,CWE-199: Information Management Errors
CWE-208: Observable Timing Discrepancy,MemberOf,CWE-1012: Cross Cutting
CWE-209: Generation of Error Message Containing Sensitive Information,ChildOf,CWE-755: Improper Handling of Exceptional Conditions
CWE-209: Generation of Error Message Containing Sensitive Information,ChildOf,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor
CWE-209: Generation of Error Message Containing Sensitive Information,ParentOf,CWE-210: Self-generated Error Message Containing Sensitive Information
CWE-209: Generation of Error Message Containing Sensitive Information,ParentOf,CWE-211: Externally-Generated Error Message Containing Sensitive Information
CWE-209: Generation of Error Message Containing Sensitive Information,ParentOf,CWE-550: Server-generated Error Message Containing Sensitive Information
CWE-209: Generation of Error Message Containing Sensitive Information,PeerOf,CWE-1295: Debug Messages Revealing Unnecessary Information
CWE-209: Generation of Error Message Containing Sensitive Information,CanFollow,CWE-600: Uncaught Exception in Servlet 
CWE-209: Generation of Error Message Containing Sensitive Information,CanFollow,CWE-756: Missing Custom Error Page
CWE-209: Generation of Error Message Containing Sensitive Information,MemberOf,CWE-199: Information Management Errors
CWE-209: Generation of Error Message Containing Sensitive Information,MemberOf,"CWE-389: Error Conditions, Return Values, Status Codes"
CWE-209: Generation of Error Message Containing Sensitive Information,ChildOf,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor
CWE-209: Generation of Error Message Containing Sensitive Information,MemberOf,CWE-1015: Limit Access
CWE-210: Self-generated Error Message Containing Sensitive Information,ChildOf,CWE-209: Generation of Error Message Containing Sensitive Information
CWE-210: Self-generated Error Message Containing Sensitive Information,MemberOf,CWE-1016: Limit Exposure
CWE-211: Externally-Generated Error Message Containing Sensitive Information,ChildOf,CWE-209: Generation of Error Message Containing Sensitive Information
